Long,Lat,
-122.36842,37.49576,0
-122.3684,37.49581,0
-122.36838,37.49587,0
-122.36831,37.49592,0
-122.36819,37.49601,0
-122.36808,37.49608,0
-122.36798,37.49614,0
-122.36789,37.49618,0
-122.36784,37.4962,0
-122.36746,37.4963,0
-122.36746,37.49631,0
-122.36738,37.49633,0
-122.36731,37.49636,0
-122.36724,37.49636,0
-122.36718,37.49636,0
-122.36711,37.49635,0
-122.36703,37.49633,0
-122.367,37.49632,0
-122.36691,37.4963,0
-122.3668,37.49626,0
-122.36668,37.49621,0
-122.36591,37.49581,0
-122.36576,37.49574,0
-122.36573,37.49573,0
-122.36561,37.49569,0
-122.36543,37.49564,0
-122.36528,37.49564,0
-122.36511,37.49565,0
-122.36504,37.49566,0
-122.36488,37.49567,0
-122.36486,37.49567,0
-122.36392,37.49576,0
-122.36371,37.49578,0
-122.36357,37.49581,0
-122.36351,37.49584,0
-122.36344,37.49588,0
-122.3634,37.49591,0
-122.36334,37.49597,0
-122.3633,37.49602,0
-122.36323,37.49612,0
-122.36319,37.49621,0
-122.36317,37.49629,0
-122.36313,37.49644,0
-122.36313,37.49646,0
-122.36312,37.49654,0
-122.36309,37.49675,0
-122.36307,37.4968,0
-122.36304,37.49684,0
-122.363,37.49688,0
-122.36295,37.49691,0
-122.36292,37.49692,0
-122.36285,37.49694,0
-122.36274,37.49695,0
-122.3627,37.49695,0
-122.36256,37.49694,0
-122.36244,37.49692,0
-122.36232,37.49689,0
-122.36226,37.49689,0
-122.36213,37.49687,0
-122.36195,37.49686,0
-122.3618,37.49688,0
-122.36165,37.49692,0
-122.36159,37.49694,0
-122.36139,37.49703,0
-122.36101,37.49719,0
-122.36071,37.49734,0
-122.3605,37.49745,0
